Vendor,Category,Item,Price,Origin
BlueKing295,Drugs/Psychedelics/DMT,Quality Spice 25g,1.816311 BTC,Worldwide
AlphaKing463,Drugs/Cannabis/Hash,Premium Pure Product 500g,1.642903 BTC,USA
DarkShop818,Digital/Hacking,Pure Fullz,1.524043 BTC,Canada
QuickPro135,Drugs/Cannabis/Hash,Tested Quantity 50g,0.059078 BTC,Poland
KingLab317,Drugs/Prescription/Xanax,Pressed Tested Xanax 500ct,3.44991 BTC,Germany
SilentMarket838,Drugs/Dissociatives/Ketamine,Pure K Powder 7g,2.622203 BTC,USA
QuickDirect928,Drugs/Ecstasy/MDMA,Crystal Pure MDMA 1g,3.773959 BTC,USA/Europe
AlphaStore878,Drugs/Stimulants/Speed,Premium Speed Paste 10g,0.50901 BTC,Germany
AlphaKing463,Fraud/Documents,Counterfeit Quality Passport,2.62447 BTC,USA
PharmaDirect647,Drugs/Opioids/Fentanyl,Grade-A Fentanyl Powder 250g,1.600085 BTC,Poland
CryptoLab868,Drugs/Prescription/Adderall,Authentic Verified Adderall 50ct,1.618784 BTC,Australia
PharmaExpert186,Drugs/Opioids/Heroin,Verified Heroin 28g,2.944952 BTC,Czech Republic
RedLab835,Drugs/Cannabis/Weed,Premium Quality Product 50g,0.473939 BTC,No Info
UltraLab266,Drugs/Prescription/Adderall,Premium Amphetamine Salts 2ct,1.066589 BTC,Poland
AlphaStore132,Drugs/Stimulants/Cocaine,Fishscale Quality Coke 28g,1.323195 BTC,Germany
KingDirect228,Drugs/Cannabis/Hash,Premium Lab Product 7g,1.808719 BTC,Poland
KingBoss990,Drugs/Dissociatives/Ketamine,Research Grade Pure Ketamine 7g,4.44242 BTC,Poland
AlphaStore354,Drugs/Prescription/Tramadol,Lab Tramadol 2ct,1.16762 BTC,Switzerland
SpeedMarket271,Drugs/Cannabis/Hash,Quality Tested Items 50ct,2.367511 BTC,Belgium
DarkBoss582,Drugs/Cannabis/Weed,Quality Pure Items 50ct,1.758462 BTC,Czech Republic
EliteMaster689,Drugs/Opioids/Heroin,Verified Heroin 14g,3.629112 BTC,Spain
AlphaStore878,Drugs/Cannabis/Weed,Quality Premium Items 5ct,1.210805 BTC,Spain
DarkBoss582,Drugs/Opioids/Fentanyl,Pure Fentanyl Powder 500g,3.093573 BTC,Europe
AlphaStore132,Drugs/Psychedelics/DMT,Verified Spice 250g,4.953948 BTC,UK
SpeedVendor287,Drugs/Prescription/Tramadol,Quality Tramadol 500ct,1.236966 BTC,Europe
QuickKing639,Drugs/Ecstasy/Pills,Blue Premium Press 5ct,4.102471 BTC,Spain
KingLab317,Drugs/Cannabis/Hash,Quality Tested Items 5ct,4.663491 BTC,China
AlphaKing463,Drugs/Psychedelics/LSD,Verified LSD Blotters 50ct,1.414867 BTC,Switzerland
DeltaMarket543,Drugs/Prescription/Adderall,Premium Amphetamine Salts 7ct,2.407974 BTC,No Info
AlphaStore878,Drugs/Prescription/Adderall,Grade-A Amphetamine Salts 10ct,3.029412 BTC,Switzerland
CryptoDirect666,Drugs/Stimulants/Speed,Crystal Quality Speed 250g,3.016132 BTC,Australia
SpeedMarket519,Drugs/Ecstasy/MDMA,Verified Ecstasy Crystals 28g,1.503962 BTC,Canada
BlackExpert873,Drugs/Stimulants/Meth,Grade-A Methamphetamine 7g,3.308885 BTC,Czech Republic
BlueStore943,Drugs/Prescription/Xanax,Lab Benzo 100ct,6.727338 BTC,China
BlackExpert873,Drugs/Cannabis/Edibles,Premium Quantity 500g,0.935149 BTC,Poland
BlackBoss982,Drugs/Prescription/Tramadol,Generic Pure Ultram 250ct,0.183183 BTC,USA
ShadowVendor954,Drugs/Stimulants/Speed,Pure Speed Paste 14g,2.17885 BTC,China
UltraLab266,Drugs/Stimulants/Speed,Premium Speed Paste 250g,1.146816 BTC,No Info
RedMarket810,Drugs/Psychedelics/Mushrooms,Psilocybin Verified Mushrooms 250g,4.394636 BTC,Australia
SilentVendor726,Drugs/Prescription/Xanax,Authentic Lab Xanax 100ct,0.741146 BTC,India
StealthPro162,Drugs/Psychedelics/Mushrooms,Lab Cubensis 25g,3.031168 BTC,France
QuickKing639,Fraud/Documents,Counterfeit Tested Passport,2.43663 BTC,Poland
DarkExpert536,Drugs/Opioids/Heroin,Brown Tested Dope 5g,2.370077 BTC,Switzerland
AlphaMaster277,Drugs/Prescription/Xanax,Pressed Lab Xanax 1ct,3.880848 BTC,Australia
SilentMarket838,Fraud/Documents,Fake Verified ID,1.991956 BTC,Australia
EliteMaster689,Drugs/Ecstasy/Pills,Pure Ecstasy Tabs 25ct,0.182881 BTC,UK
VenomLab764,Drugs/Ecstasy/MDMA,Verified Ecstasy Crystals 7g,0.178271 BTC,No Info
BlackShop465,Drugs/Dissociatives/Ketamine,Pure K Powder 10g,3.453974 BTC,Europe
KingDirect228,Drugs/Psychedelics/Mushrooms,Psilocybin Premium Mushrooms 500g,4.925167 BTC,Poland
RedLab835,Digital/Hacking,Compromised Quality Database,0.871813 BTC,Worldwide
SwiftExpert794,Drugs/Prescription/Adderall,Quality Amphetamine Salts 14ct,1.704828 BTC,Canada
UltraSource684,Drugs/Opioids/Oxycodone,Grade-A Percs 1ct,2.948268 BTC,Netherlands
BlackExpert873,Drugs/Opioids/Fentanyl,Verified Fentanyl Powder 14g,4.435841 BTC,Australia
StealthVendor191,Drugs/Cannabis/Edibles,Quality Premium Items 2ct,5.651626 BTC,France
PureStore440,Fraud/Documents,Counterfeit Tested Passport,1.357374 BTC,Belgium
PureMarket224,Drugs/Dissociatives/Ketamine,Pure K Powder 25g,5.067542 BTC,India
CryptoDealer638,Drugs/Psychedelics/LSD,Tested Liquid LSD 2ml,0.295442 BTC,Germany
OmegaKing43,Fraud/Documents,Fake Grade-A ID,2.320111 BTC,Worldwide
KingBoss990,Drugs/Psychedelics/DMT,Crystal Lab DMT 1g,1.266041 BTC,Switzerland
SecureBoss844,Drugs/Opioids/Oxycodone,Tested Percs 25ct,4.429937 BTC,China
RedMarket810,Drugs/Opioids/Fentanyl,Research Chemical Lab Fent 50g,2.513231 BTC,Australia
VenomLab764,Drugs/Psychedelics/LSD,High-Dose Quality Tabs 25ct,1.019694 BTC,Canada
OmegaDirect105,Fraud/Documents,Counterfeit Premium Passport,0.197052 BTC,Worldwide
QuickSource60,Drugs/Stimulants/Cocaine,Verified Blow 100g,3.010036 BTC,UK
SilentMaster955,Drugs/Stimulants/Speed,Crystal Lab Speed 250g,4.151119 BTC,Poland
PharmaBoss522,Drugs/Stimulants/Speed,Crystal Lab Speed 250g,0.145128 BTC,Netherlands
GreenMarket125,Drugs/Dissociatives/Ketamine,Premium K Powder 7g,2.968629 BTC,No Info
SpeedDealer285,Drugs/Psychedelics/DMT,Pure Spice 7g,3.872486 BTC,China
KingBoss990,Drugs/Stimulants/Speed,Quality Tested Amphetamine 250g,0.730737 BTC,Canada
UltraLab620,Drugs/Opioids/Fentanyl,Research Chemical Grade-A Fent 50g,1.250536 BTC,China
SpeedVendor287,Drugs/Prescription/Tramadol,Generic Pure Ultram 5ct,0.759897 BTC,USA
SpeedVendor287,Drugs/Prescription/Adderall,Grade-A Amphetamine Salts 2ct,2.085088 BTC,India
BlueStore78,Drugs/Dissociatives/Ketamine,Research Grade Premium Ketamine 500g,3.402735 BTC,Switzerland
BlackShop465,Digital/Hacking,Compromised Quality Database,1.505261 BTC,Spain
EliteDealer235,Drugs/Stimulants/Meth,Premium Tested Meth 250g,1.129633 BTC,Netherlands
VenomLab764,Drugs/Psychedelics/DMT,Extracted Tested DMT 250g,1.170116 BTC,Poland
StealthPro162,Drugs/Prescription/Adderall,Premium Amphetamine Salts 5ct,5.965635 BTC,USA
SpeedShop526,Drugs/Psychedelics/LSD,Pure LSD Blotters 7ct,2.12178 BTC,No Info
EliteDealer235,Drugs/Cannabis/Weed,Quality Tested Items 2ct,1.080823 BTC,Australia
QuickKing639,Drugs/Psychedelics/DMT,Quality Spice 100g,2.134931 BTC,China
UltraSource684,Drugs/Cannabis/Hash,Premium Verified Product 100g,1.332105 BTC,Belgium
DarkShop818,Drugs/Stimulants/Speed,Quality Speed Paste 10g,2.489234 BTC,Switzerland
OmegaDirect105,Drugs/Stimulants/Cocaine,Pure Blow 500g,3.254656 BTC,USA/Europe
PureMarket224,Drugs/Opioids/Oxycodone,Authentic Tested Oxy 5ct,0.533338 BTC,No Info
DarkShop818,Fraud/Documents,Fake Verified ID,2.142691 BTC,Canada
AlphaStore354,Drugs/Psychedelics/DMT,Crystal Tested DMT 5g,3.14805 BTC,China
SecureBoss844,Drugs/Stimulants/Speed,Crystal Quality Speed 10g,4.418648 BTC,Switzerland
BlackExpert873,Drugs/Cannabis/Edibles,Lab Quantity 1g,9.347129 BTC,Germany
GreenMarket125,Drugs/Prescription/Xanax,Verified Benzo 2ct,1.507075 BTC,Canada
RedLab835,Drugs/Opioids/Heroin,High Quality Tested Heroin 7g,1.333766 BTC,India
VenomSource928,Drugs/Cannabis/Hash,Quality Quantity 7g,6.959281 BTC,Germany
UltraSource684,Fraud/Documents,Fake Quality ID,2.923086 BTC,Switzerland
GreenExpert605,Drugs/Opioids/Heroin,High Quality Grade-A Heroin 25g,1.825757 BTC,Germany
QuickKing639,Drugs/Stimulants/Speed,Crystal Quality Speed 250g,2.937334 BTC,Worldwide
VenomMarket709,Drugs/Opioids/Fentanyl,Premium Fentanyl Powder 1g,3.994396 BTC,Germany
KingDirect228,Drugs/Cannabis/Weed,Quality Quantity 250g,0.240889 BTC,Poland
BlackShop465,Drugs/Psychedelics/DMT,Grade-A Spice 2g,3.972615 BTC,Netherlands
PharmaDirect647,Drugs/Opioids/Fentanyl,Grade-A Fentanyl Powder 50g,1.074831 BTC,Netherlands
UltraLab620,Drugs/Cannabis/Weed,Premium Pure Product 14g,2.049467 BTC,Switzerland
AlphaStore878,Drugs/Psychedelics/Mushrooms,Premium Cubensis 28g,3.571301 BTC,UK
AlphaKing463,Drugs/Opioids/Oxycodone,Tested Percs 10ct,0.25045 BTC,Netherlands
CryptoDirect666,Drugs/Prescription/Adderall,Pure Amphetamine Salts 5ct,1.486803 BTC,Germany
PharmaSource313,Drugs/Stimulants/Speed,Quality Verified Amphetamine 28g,0.460472 BTC,Netherlands
AlphaStore354,Drugs/Prescription/Adderall,Lab Amphetamine Salts 1ct,2.012268 BTC,No Info
DeltaStore687,Drugs/Opioids/Heroin,High Quality Premium Heroin 250g,5.890881 BTC,France
UltraMarket470,Drugs/Opioids/Heroin,High Quality Pure Heroin 5g,5.048508 BTC,France
SwiftExpert794,Drugs/Stimulants/Speed,Quality Quality Amphetamine 500g,1.252088 BTC,Netherlands
PureMarket224,Drugs/Opioids/Heroin,Brown Pure Dope 50g,2.216263 BTC,Germany
StealthVendor191,Drugs/Dissociatives/Ketamine,Research Grade Verified Ketamine 28g,0.476245 BTC,Germany
DeltaMarket543,Drugs/Stimulants/Meth,Ice Verified Crystal 25g,2.131479 BTC,China
DeltaMarket543,Drugs/Cannabis/Hash,Tested Quantity 1g,5.357443 BTC,Belgium
AlphaStore878,Drugs/Opioids/Fentanyl,Research Chemical Premium Fent 5g,0.648608 BTC,Germany
PharmaExpert186,Drugs/Ecstasy/MDMA,Crystal Premium MDMA 5g,0.98434 BTC,Netherlands
UltraLab266,Drugs/Ecstasy/MDMA,Pure Premium Molly 1g,3.032086 BTC,Netherlands
RedLab835,Drugs/Stimulants/Cocaine,Fishscale Grade-A Coke 25g,0.90951 BTC,India
DeltaMarket608,Drugs/Ecstasy/MDMA,Pure Verified Molly 1g,4.267773 BTC,Australia
BlueKing295,Drugs/Ecstasy/MDMA,Crystal Tested MDMA 14g,5.566032 BTC,France
PureStore440,Drugs/Psychedelics/DMT,Extracted Premium DMT 1g,0.894857 BTC,USA
KingBoss990,Drugs/Cannabis/Weed,Premium Pure Product 7g,3.386946 BTC,Europe
SpeedShop526,Drugs/Cannabis/Edibles,Tested Quantity 250g,3.293656 BTC,France
DarkBoss582,Drugs/Psychedelics/DMT,Crystal Premium DMT 10g,2.680838 BTC,Czech Republic
QuickDealer552,Drugs/Prescription/Xanax,Pressed Premium Xanax 1ct,2.126982 BTC,China
BlackExpert873,Drugs/Prescription/Xanax,Pressed Tested Xanax 50ct,3.167287 BTC,UK
UltraLab620,Drugs/Cannabis/Hash,Quality Verified Items 50ct,0.70362 BTC,Spain
AlphaMaster277,Drugs/Stimulants/Cocaine,Fishscale Tested Coke 250g,0.700145 BTC,USA/Europe
BlackBoss982,Drugs/Cannabis/Weed,Lab Quantity 500g,4.154759 BTC,Poland
AlphaVendor354,Drugs/Prescription/Adderall,Verified Amphetamine Salts 10ct,6.216881 BTC,Czech Republic
PharmaDirect770,Drugs/Opioids/Fentanyl,Research Chemical Lab Fent 2g,0.30689 BTC,Belgium
AlphaDealer746,Drugs/Stimulants/Meth,Premium Premium Meth 2g,3.474109 BTC,Germany
CryptoLab868,Drugs/Stimulants/Meth,Tested Methamphetamine 5g,8.345454 BTC,Spain
SpeedShop481,Drugs/Prescription/Tramadol,Verified Tramadol 1ct,4.288706 BTC,Spain
PureMarket96,Drugs/Psychedelics/DMT,Extracted Premium DMT 10g,8.126471 BTC,China
SpeedVendor287,Drugs/Ecstasy/Pills,Lab Ecstasy Tabs 10ct,1.655911 BTC,No Info
SilentMaster955,Drugs/Ecstasy/Pills,Tested MDMA Pressed Pills 14ct,4.678469 BTC,USA/Europe
ShadowVendor954,Drugs/Stimulants/Cocaine,High Purity Grade-A Cocaine 500g,0.927975 BTC,USA/Europe
AlphaDealer746,Digital/Hacking,Hacked Quality Account,4.98533 BTC,Switzerland
AlphaStore878,Drugs/Prescription/Xanax,Pressed Quality Xanax 2ct,1.437157 BTC,Worldwide
SpeedShop526,Drugs/Prescription/Adderall,Pure Amphetamine Salts 50ct,0.885226 BTC,Poland
KingKing458,Drugs/Opioids/Fentanyl,Research Chemical Premium Fent 10g,1.224328 BTC,Belgium
SpeedDealer285,Drugs/Stimulants/Cocaine,Fishscale Pure Coke 250g,1.866959 BTC,Netherlands
SpeedShop526,Drugs/Opioids/Heroin,Brown Tested Dope 50g,1.337648 BTC,Canada
QuickDealer552,Fraud/Documents,Quality License Replica,0.196308 BTC,Poland
SpeedMarket271,Drugs/Psychedelics/DMT,Lab Spice 14g,2.169729 BTC,No Info
QuickDealer552,Digital/Hacking,Premium Fullz,1.858281 BTC,Switzerland
PureStore440,Drugs/Dissociatives/Ketamine,Pure K Powder 14g,4.423079 BTC,Canada
VenomPro997,Drugs/Opioids/Heroin,High Quality Premium Heroin 10g,1.307344 BTC,USA
PharmaSource313,Drugs/Cannabis/Hash,Premium Premium Product 10g,1.00718 BTC,Australia
VenomLab714,Digital/Hacking,Hacked Grade-A Account,0.71197 BTC,Europe
UltraKing555,Drugs/Psychedelics/Mushrooms,Psilocybin Tested Mushrooms 14g,0.661701 BTC,France
CryptoDirect666,Drugs/Psychedelics/DMT,Extracted Tested DMT 25g,3.079769 BTC,Switzerland
PharmaSource204,Drugs/Opioids/Heroin,Lab Heroin 25g,2.866386 BTC,Czech Republic
AlphaDirect701,Drugs/Cannabis/Hash,Quality Premium Items 50ct,3.189875 BTC,India
VenomSource815,Drugs/Opioids/Oxycodone,Authentic Verified Oxy 1ct,1.304036 BTC,Australia
SwiftExpert794,Digital/Hacking,Compromised Lab Database,3.451889 BTC,China
OmegaDirect105,Drugs/Dissociatives/Ketamine,Research Grade Lab Ketamine 500g,2.545073 BTC,Netherlands
SilentMarket189,Drugs/Prescription/Tramadol,Pure Tramadol 500ct,0.767919 BTC,Canada
SilentMarket838,Drugs/Opioids/Oxycodone,Verified Percs 14ct,1.78814 BTC,India
SilentVendor726,Drugs/Psychedelics/LSD,High-Dose Lab Tabs 5ct,2.51828 BTC,Canada
CryptoLab868,Drugs/Psychedelics/LSD,Quality Liquid LSD 100ml,5.017757 BTC,France
SilentMarket838,Fraud/Documents,Counterfeit Tested Passport,0.212942 BTC,Worldwide
PharmaSource204,Drugs/Psychedelics/Mushrooms,Quality Cubensis 7g,2.523049 BTC,Netherlands
AlphaVendor354,Drugs/Psychedelics/Mushrooms,Psilocybin Quality Mushrooms 25g,0.549012 BTC,Europe
VenomLab764,Drugs/Psychedelics/Mushrooms,Psilocybin Lab Mushrooms 5g,2.964124 BTC,Poland
DeltaMarket608,Drugs/Psychedelics/Mushrooms,Dried Premium Shrooms 2g,5.099281 BTC,USA
SwiftDealer556,Drugs/Opioids/Heroin,Brown Premium Dope 2g,1.071539 BTC,Germany
BlackShop465,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 5g,4.028317 BTC,USA
BlackShop465,Fraud/Documents,Pure License Replica,4.279588 BTC,Belgium
QuickMaster491,Drugs/Psychedelics/LSD,High-Dose Grade-A Tabs 7ct,1.335784 BTC,Spain
PharmaExpert186,Drugs/Opioids/Heroin,Grade-A Heroin 1g,0.337119 BTC,Germany
DarkShop818,Drugs/Opioids/Oxycodone,Tested Percs 25ct,8.470091 BTC,Spain
VenomLab714,Digital/Hacking,Hacked Lab Account,1.392719 BTC,UK
DarkBoss582,Drugs/Psychedelics/Mushrooms,Verified Cubensis 250g,1.072765 BTC,Canada
CryptoDealer638,Drugs/Psychedelics/Mushrooms,Psilocybin Pure Mushrooms 10g,2.345778 BTC,Switzerland
SwiftStore705,Drugs/Cannabis/Hash,Quality Quantity 5g,1.43732 BTC,Germany
SilentMaster997,Drugs/Stimulants/Speed,Verified Speed Paste 5g,5.774907 BTC,Netherlands
EliteShop410,Drugs/Dissociatives/Ketamine,Research Grade Pure Ketamine 28g,1.490775 BTC,Belgium
QuickKing639,Drugs/Prescription/Adderall,Quality Amphetamine Salts 25ct,1.289891 BTC,Worldwide
AlphaKing463,Drugs/Stimulants/Meth,Ice Premium Crystal 2g,3.131571 BTC,USA/Europe
BlueKing295,Drugs/Opioids/Fentanyl,Pure Fentanyl Powder 50g,0.607903 BTC,Germany
BlackBoss982,Drugs/Stimulants/Meth,Lab Methamphetamine 7g,2.362523 BTC,Netherlands
AlphaStore354,Digital/Hacking,Compromised Premium Database,0.800782 BTC,Switzerland
AlphaMaster277,Drugs/Prescription/Adderall,Authentic Premium Adderall 2ct,1.803481 BTC,France
SwiftKing346,Drugs/Cannabis/Weed,Premium Tested Product 100g,1.295345 BTC,Switzerland
BlackExpert873,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 14g,3.585189 BTC,No Info
UltraDirect809,Drugs/Dissociatives/Ketamine,Research Grade Quality Ketamine 1g,4.15514 BTC,No Info
SwiftDealer556,Drugs/Prescription/Xanax,Pressed Tested Xanax 25ct,8.727738 BTC,China
CryptoDealer638,Drugs/Dissociatives/Ketamine,Research Grade Lab Ketamine 7g,0.905824 BTC,Australia
AlphaStore878,Drugs/Cannabis/Edibles,Premium Verified Product 1g,6.41124 BTC,UK
UltraLab266,Fraud/Documents,Counterfeit Premium Passport,0.470713 BTC,Czech Republic
PharmaSource204,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 5g,4.358661 BTC,India
AlphaDealer746,Drugs/Psychedelics/DMT,Extracted Pure DMT 1g,2.914002 BTC,UK
KingDirect228,Digital/Hacking,Hacked Pure Account,1.416279 BTC,Poland
GhostLab755,Drugs/Cannabis/Hash,Premium Quantity 10g,3.86858 BTC,No Info
AlphaStore95,Drugs/Cannabis/Edibles,Premium Quantity 10g,5.925438 BTC,USA/Europe
DeltaMarket608,Drugs/Prescription/Tramadol,Generic Pure Ultram 25ct,2.527854 BTC,Czech Republic
BlackBoss982,Drugs/Cannabis/Edibles,Grade-A Quantity 2g,1.120568 BTC,Spain
SilentPro922,Drugs/Psychedelics/LSD,High-Dose Quality Tabs 50ct,1.716949 BTC,UK
BlueStore78,Drugs/Opioids/Fentanyl,Pure Fentanyl Powder 25g,8.106299 BTC,USA
VenomMarket709,Fraud/Documents,Fake Premium ID,3.792869 BTC,Worldwide
VenomVendor269,Drugs/Prescription/Adderall,Pure Amphetamine Salts 25ct,2.403954 BTC,Europe
DarkExpert536,Drugs/Stimulants/Cocaine,Pure Blow 2g,3.568475 BTC,Europe
QuickKing639,Drugs/Prescription/Adderall,Authentic Quality Adderall 10ct,1.355755 BTC,Switzerland
AlphaKing463,Drugs/Ecstasy/MDMA,Pure Verified Molly 1g,1.205416 BTC,No Info
StealthVendor191,Drugs/Psychedelics/LSD,High-Dose Verified Tabs 25ct,2.215218 BTC,Spain
SwiftStore884,Drugs/Cannabis/Weed,Verified Quantity 28g,5.218052 BTC,France
StealthKing618,Drugs/Ecstasy/MDMA,Pure Verified Molly 7g,1.293374 BTC,Worldwide
UltraKing555,Drugs/Opioids/Heroin,High Quality Lab Heroin 1g,0.114546 BTC,Netherlands
UltraVendor891,Drugs/Prescription/Xanax,Authentic Tested Xanax 100ct,3.520352 BTC,Spain
QuickDealer552,Drugs/Psychedelics/Mushrooms,Verified Cubensis 25g,4.310196 BTC,Australia
SilentMarket189,Drugs/Opioids/Oxycodone,Grade-A Percs 250ct,0.92799 BTC,UK
DarkExpert536,Drugs/Stimulants/Cocaine,Grade-A Blow 10g,3.682582 BTC,Canada
RedLab835,Drugs/Prescription/Tramadol,Grade-A Tramadol 7ct,1.271838 BTC,India
AlphaKing463,Drugs/Psychedelics/DMT,Crystal Tested DMT 28g,0.435595 BTC,Germany
UltraDirect809,Drugs/Ecstasy/Pills,Tested MDMA Pressed Pills 100ct,3.494957 BTC,Spain
DeltaMarket543,Drugs/Cannabis/Hash,Tested Quantity 5g,1.374334 BTC,Netherlands
QuickMaster491,Drugs/Opioids/Oxycodone,Authentic Premium Oxy 25ct,3.913572 BTC,China
SpeedMarket529,Drugs/Prescription/Adderall,Authentic Lab Adderall 100ct,6.617486 BTC,Australia
GreenDealer162,Drugs/Stimulants/Speed,Quality Premium Amphetamine 14g,4.35891 BTC,Europe
SpeedMarket529,Drugs/Stimulants/Speed,Quality Verified Amphetamine 1g,5.450555 BTC,Czech Republic
AlphaKing870,Drugs/Prescription/Tramadol,Premium Tramadol 28ct,3.41291 BTC,Europe
KingKing458,Drugs/Cannabis/Weed,Quality Verified Items 100ct,0.074302 BTC,France
BlueKing295,Drugs/Cannabis/Edibles,Quality Grade-A Items 5ct,6.083646 BTC,Worldwide
StealthShop752,Drugs/Stimulants/Meth,Premium Lab Meth 5g,2.22502 BTC,USA
GreenDealer162,Drugs/Cannabis/Edibles,Premium Quantity 50g,3.353229 BTC,India
DeltaMarket543,Drugs/Cannabis/Weed,Pure Quantity 7g,0.804345 BTC,Australia
BluePro475,Drugs/Cannabis/Edibles,Quality Quantity 250g,2.348221 BTC,Switzerland
PharmaSource313,Drugs/Dissociatives/Ketamine,Grade-A K Powder 250g,1.021958 BTC,No Info
SpeedVendor287,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 14g,2.516626 BTC,USA/Europe
EliteDealer235,Drugs/Prescription/Xanax,Premium Benzo 25ct,0.589701 BTC,Netherlands
SpeedMarket271,Drugs/Prescription/Adderall,Premium Amphetamine Salts 10ct,2.822234 BTC,Worldwide
ShadowVendor173,Drugs/Opioids/Fentanyl,Research Chemical Quality Fent 5g,3.68259 BTC,USA
PureVendor480,Drugs/Dissociatives/Ketamine,Research Grade Premium Ketamine 500g,3.357503 BTC,Spain
DarkBoss582,Drugs/Prescription/Adderall,Tested Amphetamine Salts 5ct,4.246067 BTC,Europe
VenomMarket709,Drugs/Stimulants/Cocaine,Fishscale Verified Coke 14g,1.048007 BTC,Germany
RedLab835,Drugs/Dissociatives/Ketamine,Research Grade Quality Ketamine 28g,9.656157 BTC,Australia
QuickDealer552,Drugs/Stimulants/Meth,Premium Quality Meth 1g,2.823171 BTC,Canada
DeltaMarket543,Fraud/Documents,Counterfeit Tested Passport,0.628259 BTC,India
AlphaKing463,Drugs/Stimulants/Speed,Quality Lab Amphetamine 14g,5.848716 BTC,China
SwiftExpert794,Drugs/Psychedelics/LSD,Quality Liquid LSD 2ml,1.676454 BTC,Poland
EliteDealer235,Fraud/Documents,Counterfeit Lab Passport,3.048685 BTC,Spain
SwiftKing346,Fraud/Documents,Counterfeit Quality Passport,2.480408 BTC,No Info
QuickKing639,Drugs/Cannabis/Weed,Quality Grade-A Items 50ct,2.40081 BTC,France
GhostLab755,Fraud/Documents,Tested License Replica,3.533768 BTC,France
AlphaDealer746,Drugs/Psychedelics/Mushrooms,Quality Cubensis 2g,3.171965 BTC,China
AlphaStore132,Drugs/Prescription/Adderall,Authentic Quality Adderall 50ct,0.638533 BTC,USA
SwiftStore705,Drugs/Prescription/Xanax,Pressed Grade-A Xanax 2ct,2.842974 BTC,Germany
KingKing458,Drugs/Stimulants/Speed,Pure Speed Paste 2g,2.29985 BTC,Czech Republic
SilentMaster997,Drugs/Stimulants/Meth,Premium Grade-A Meth 1g,2.364058 BTC,No Info
VenomSource928,Drugs/Prescription/Xanax,Authentic Premium Xanax 7ct,9.224553 BTC,China
SilentPro922,Drugs/Cannabis/Hash,Premium Quantity 250g,4.395998 BTC,Netherlands
